,Entry,Exit,Session no.
0,2018-01-16 12:16:42.319568,2018-01-16 12:16:48.722793,0
1,2018-01-16 12:16:49.866446,2018-01-16 12:17:09.186733,1
2,2018-01-16 12:17:12.223788,2018-01-16 12:17:16.505790,2
3,2018-01-16 12:17:17.619576,2018-01-16 12:17:22.358115,2
4,2018-01-16 12:17:24.889690,2018-01-16 12:17:25.000800,2
5,2018-01-16 12:17:25.238968,2018-01-16 12:17:35.900388,2
6,2018-01-16 12:17:36.020830,2018-01-16 12:17:40.786673,2
7,2018-01-16 12:17:42.948999,2018-01-16 12:17:46.381254,3
8,2018-01-16 12:17:48.020470,2018-01-16 12:17:48.082515,3
9,2018-01-16 12:17:48.301669,2018-01-16 12:17:55.511560,3
10,2018-01-16 12:17:58.431583,2018-01-16 12:18:04.551467,3
11,2018-01-16 12:18:15.192055,2018-01-16 12:18:18.066463,3
12,2018-01-16 12:18:21.100082,99999,4
